no water; 2019-06-01 16:17:03.440593
no water; 2019-06-01 16:17:56.688940
no water; 2019-06-01 16:18:02.005741
no water; 2019-06-01 16:18:08.302077
no water; 2019-06-01 16:18:13.531621
no feed; 2019-06-01 16:18:15.316327
no feed; 2019-06-01 16:18:15.535179
no feed; 2019-06-01 16:18:16.032771
no water; 2019-06-01 16:18:19.379449
no feed; 2019-06-01 16:18:20.740628
no water; 2019-06-01 16:18:25.190324
no water; 2019-06-01 16:18:30.177644
no water; 2019-06-01 16:18:35.827586
no water; 2019-06-01 16:18:42.302338
no feed; 2019-06-01 16:18:46.208980
no water; 2019-06-01 16:18:47.375720
no water; 2019-06-01 16:18:58.909913
no water; 2019-06-01 16:19:07.238957
no feed; 2019-06-01 16:19:12.249366
no water; 2019-06-01 16:19:12.978714
no feed; 2019-06-01 16:19:15.943666
no water; 2019-06-01 16:19:19.241587
no water; 2019-06-01 16:19:25.080871
no water; 2019-06-01 16:19:30.301248
